tweet;kelas
el_atheos ridwankamil ya mungkin karena perempuan bj merah yg paling kelihatan karena berada di depan laki2 jg sering jadi bahan joke rk;bukan keluhan atau respon
ridwankamil dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun;keluhan
di tribun jabar biasanya suka di post agenda kang emil. tapi gak setiap hari sih. rt ry_ory: klo saya k bdg bs ketemu kang ridwankamil dmn;bukan keluhan atau respon
dbmpkotabdg rt fajriattack: lapor pak ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek :(:(:( https://t.co/rnsu5cqhuq;keluhan
diskamtam bapak/ibu mau tanya kalo pemeliharaan taman2 yg banyak dibagun skr gimana nantinya?;bukan keluhan atau respon
pa ridwankamil tempat kerja saya tgl 25 tetep masuk. gimana itu aturannya pa? kalo misalnya ga masuk dipotong gaji https://t.co/u3l7xtjfge;keluhan
pdamtirtaweningridwankamil  00106700466 punten sudah seminggu air pdam tidak mengalir. mohon bantuannya segera...;keluhan
rt kendiadiputra: anak sma yang ketahuan mencuri helem di bip hari ini pak ridwankamil https://t.co/zyz2bo4ipk;keluhan
pdamtirtawening ternyata sudah ada warga yg konfirm ke pdamkatanya: air tidak akan mengalir selama 1 bulan krn ada perbaikan ridwankamil;bukan keluhan atau respon
kang ridwankamil jalan di muararajeun baru baru sebulanan dibenerinudah rusak lagi. yang ngerjain kaya ga serius https://t.co/yulun5gc7n;keluhan
rt adammaulud: didinyamah kieu 👍 bosss! kumaha pak? ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c…;keluhan
pak ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. udah mah td kehujanan wajah rupawan sy kacepretan :((;keluhan
dbmpkotabdg ridwankamil hatur nuhun dbmp lampu jl.merdeka atos sae;bukan keluhan atau respon
kalo pemkotbandung ridwankamil mau batasi kendaraan yg feasible dan bisa dilakukan segera dlm wewenang mrk: berantas parkir badan jalan.;bukan keluhan atau respon
rt iqbalfg: pak ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. udah mah td kehujanan wajah rupawan sy kacepretan :…;keluhan
pak tadi saya habis dari kebun binatang itu kebersihannya masih kurang dan orangutannya juga jomblo pak mohon solusi pak.. ridwankamil;keluhan
rt tadjiuinbdg: ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9nhcx…;keluhan
bonbin bandung agak kurang terawat kasian sama hewan hewannya. pak ridwankamil coba bonbin bandung di bikin kayak singapore zoo;keluhan
pak ridwankamilsy pnya saran angkot 08 dan antapani yg coklat dilebur sj. tp arah trayeknya dibagi 2 kyk cimbeuleuit dl.;bukan keluhan atau respon
rt tadjiuinbdg: ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9nhcx…;keluhan
ridwankamil pak sya lg mau pulang naek diangkot cheum- ledeng ad ibu2 sma bpak2 ngmongin bpak tp tenang koq pak ngmongin nya yg baik2^^;bukan keluhan atau respon
dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan. hrsnya ada jambtn lyang ditiap perempatan. ridwankamil;keluhan
infobdg kalau macet begini di lihat di depannya karena apa macetnya? angkot/bus ngetem? pasti ada sumber titik macetnya ridwankamil;keluhan
#saurwargi reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb satpolppbdg;keluhan
bimaaryas diskominfobdg dishub_jabar dishub_kotabdg mendukung rencana badan hukum angkot. jgn sampai kasus metromini tjd nanti di bgr;bukan keluhan atau respon
rt se_bdg: #saurwargi reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb…;keluhan
el_atheos hendronurkholis ridwankamil he he perempuan itu sebelumnya dh ditanya sama rk dah nikah pa masih single;bukan keluhan atau respon
punten saya baru denger beritanya .. apa sudah ditertibkan modus mengambil kunci motor ? satpolppbdg prfmnews https://t.co/s1d5jf1lao;bukan keluhan atau respon
min dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya jl cemara memiliki trotoar ga ya? tx. https://t.co/5uoaccx6sh;bukan keluhan atau respon
rt soowoobdg: min dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya jl cemara memiliki trotoar ga ya? tx. https://t.co/5uoaccx6…;bukan keluhan atau respon
"ridwankamil satpolppbdg mohon diamankan pa ogah per4an pasar suci cihaurgeulis  membuat jalan suci macet total &amp; kacau.  nuhun perhatiana";keluhan
ridwankamil dbmpkotabdg mohon dipasang tiang utk lampu merah di per4an pasar suci  cihaurgeulis.  sering terjadi macet total iwginting;keluhan
setuju ini sepanjang jl riau banyak yg parkir. malah ada yg di trotoar juga :(( ridwankamil  https://t.co/anqs5onczi;keluhan
pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari.1mohon di perbaiki kec_kircon kel_babakansari ridwankamil;keluhan
pak wali upami angkot di bandung kumaha nasibna? di jakarta metromini tos jadi korban ridwankamil;bukan keluhan atau respon
rt tadjiuinbdg: ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9nhcx…;keluhan
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc cibeunying  pengerukan saluran jl veteran - jl sunda https://…;respon
rt tadjiuinbdg: ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9nhcx…;keluhan
rt toekang_sate: pak ridwankamil iyeu jalmi anu ngabalaan jalan di kota bandungngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…;keluhan
#wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.co/hqc2jektnm;bukan keluhan atau respon
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
ridwankamil anak kecil ajah jalan2 pke helm masa yang naik motor engga ?!!! :) eta maksad na mah panginteun pakk;bukan keluhan atau respon
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh;keluhan
rt se_bdg: #wartabdg lebih tegas dishub_kotabdg evaluasi sistem gembok parkir https://t.co/f9vgwdxzfm iwginting ridwankamil https://t.…;bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc bojonagara lanjutan pengerukan saluran jl sukawarna br https:…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc bojonagara lanjutan perbaikan jl dr eyckman https://t.co/xrdk…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc bojonagara pemasangan ubin difabel jl cicendo https://t.co/tg…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc tegallega pemasangan plat beton saluran jl moch toha https://…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc ujungberung  pengerukan saluran jl golf selatan i https://t.c…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 21/12 urc gedebage  pengerukan saluran jl sukarno hatta https://t.co/bn…;respon
